Titlu,Autor,An,Categorie,Descriere
Blink,Malcolm Gladwell,2005,Non-ficțiune,Despre puterea și limitele deciziilor luate în câteva secunde.
Quiet: The Power of Introverts,Susan Cain,2012,Non-ficțiune,Explorează valoarea introvertiților într-o lume care prețuiește extroversia.
Jurnalul de la Tescani,Andrei Pleșu,1993,Non-ficțiune,"Însemnări eseistice despre artă, natură și viața interioară."
Despre îngeri,Andrei Pleșu,2003,Non-ficțiune,Eseu despre reprezentările îngerilor în cultură și teologie.
Chipuri și măști ale tranziției,Gabriel Liiceanu,1996,Non-ficțiune,Eseuri despre transformările societății românești după 1989.
Ușa interzisă,Gabriel Liiceanu,2002,Non-ficțiune,"Eseu filosofic despre limite, interdicție și libertate."
Homo Deus,Yuval Noah Harari,2015,Non-ficțiune,Explorează viitorul posibil al speciei umane și tehnologiile emergente.
O scurtă istorie a timpului,Stephen Hawking,1988,Știință,"Explică în termeni accesibili originea universului, găurile negre și timpul."
Originea speciilor,Charles Darwin,1859,Știință,Prezintă teoria evoluției prin selecție naturală.
Cosmos,Carl Sagan,1980,Știință,"O călătorie prin univers, de la originea stelelor la locul omului în cosmos."
Gena egoistă,Richard Dawkins,1976,Știință,Explică evoluția din perspectiva genei ca unitate fundamentală a selecției naturale.
Primăvara tăcută,Rachel Carson,1962,Știință,Analizează efectele distructive ale pesticidelor asupra mediului înconjurător.
Structura revoluțiilor științifice,Thomas Kuhn,1962,Știință,Descrie modul în care se schimbă paradigmele fundamentale în știință.
Scurtă istorie a aproape a toate,Bill Bryson,2003,Știință,"Trece în revistă, pe înțelesul tuturor, marile descoperiri științifice."
Marele Proiect,"Stephen Hawking, Leonard Mlodinow",2010,Știință,Explorează originea universului din perspectiva fizicii moderne.
Universul într-o coajă de nucă,Stephen Hawking,2001,Știință,Prezintă concepte avansate de fizică teoretică într-un limbaj accesibil.
Ce este viața?,Erwin Schrödinger,1944,Știință,Eseu științific despre bazele fizice ale fenomenelor biologice.
Universul elegant,Brian Greene,1999,Știință,Introducere în teoria corzilor și încercarea de a unifica legile fizicii.
Uimitoarea ipoteză,Francis Crick,1994,Știință,Explorează conștiința umană din perspectiva neuroștiinței.
Sapiens: Scurtă istorie a omenirii,Yuval Noah Harari,2011,Istorie,Urmărește evoluția speciei umane de la triburi de vânători-culegători la civilizații moderne.
Ascensiunea și decăderea Imperiului Roman,Edward Gibbon,1776,Istorie,Analizează factorii care au dus la prăbușirea Imperiului Roman.
"Arme, microbi și oțel",Jared Diamond,1997,Istorie,"Explică de ce anumite civilizații au dominat altele, prin factori geografici și de mediu."
Al Doilea Război Mondial,Winston Churchill,1948,Istorie,Memorii și analiză a evenimentelor celui de-Al Doilea Război Mondial.
O istorie populară a Statelor Unite,Howard Zinn,1980,Istorie,Rescrie istoria americană din perspectiva grupurilor marginalizate.
Tunurile din august,Barbara Tuchman,1962,Istorie,Relatează evenimentele care au declanșat Primul Război Mondial.
O scurtă istorie a românilor pentru tineret,Neagu Djuvara,1999,Istorie,"Sinteză accesibilă a istoriei românilor, gândită pentru publicul tânăr."
De la Vlad Țepeș la Dracula vampirul,Neagu Djuvara,1995,Istorie,Analizează transformarea lui Vlad Țepeș în mitul occidental al vampirului.
Istorie și mit în conștiința românească,Lucian Boia,1997,Istorie,Analizează modul în care miturile naționale au modelat istoria românilor.
"România, țară de frontieră a Europei",Lucian Boia,2002,Istorie,Eseu despre poziția României la granița dintre lumi culturale diferite.
1913: Vara secolului trecut,Florian Illies,2012,Istorie,"Cronică lunară a anului dinaintea Primului Război Mondial, în Europa."
Scurta istorie a lumii,H.G. Wells,1922,Istorie,"Sinteză a istoriei universale, de la origini până în epoca modernă."
Steve Jobs,Walter Isaacson,2011,Biografie,"Biografie autorizată a cofondatorului Apple, bazată pe interviuri extinse."
Un lung drum spre libertate,Nelson Mandela,1994,Biografie,"Autobiografia liderului sud-african, de la copilărie până la președinție."
Jurnalul Annei Frank,Anne Frank,1947,Biografie,Însemnările unei adolescente evreice ascunse în timpul ocupației naziste.
Educated,Tara Westover,2018,Biografie,Memorii despre copilăria izolată a autoarei și drumul ei către educație.
Leonardo da Vinci,Walter Isaacson,2017,Biografie,"Biografie a lui Leonardo da Vinci, explorând geniul său artistic și științific."
Einstein: Viața și universul său,Walter Isaacson,2007,Biografie,Biografie a lui Albert Einstein și a descoperirilor sale în fizică.
Jurnalul fericirii,Nicolae Steinhardt,1991,Biografie,Însemnări de închisoare și meditații spirituale ale unui intelectual român.
Wild Swans,Jung Chang,1991,Biografie,"Memorii despre trei generații de femei dintr-o familie chineză, în secolul XX."
Becoming,Michelle Obama,2018,Biografie,Memoriile fostei prime-doamne a Statelor Unite.
Elon Musk,Walter Isaacson,2023,Biografie,"Biografie a antreprenorului Elon Musk, bazată pe acces direct la viața sa."
Benjamin Franklin: O viață americană,Walter Isaacson,2003,Biografie,Biografie a unuia dintre părinții fondatori ai Statelor Unite.
Confesiuni,Jean-Jacques Rousseau,1782,Biografie,Autobiografie considerată una dintre primele opere moderne ale genului.
Republica,Platon,,Filozofie,Dialog filosofic despre justiție și despre organizarea ideală a cetății.
Etica Nicomahică,Aristotel,,Filozofie,"Tratat despre virtute, fericire și viața bună."
Critica rațiunii pure,Immanuel Kant,1781,Filozofie,Tratat fundamental despre limitele și posibilitățile cunoașterii umane.
Așa grăit-a Zarathustra,Friedrich Nietzsche,1883,Filozofie,"Operă filosofică sub formă de poem, despre supraom și eterna reîntoarcere."
Ființă și timp,Martin Heidegger,1927,Filozofie,Tratat despre sensul existenței și al timpului.
Tratat de istorie a religiilor,Mircea Eliade,1949,Filozofie,Sinteză comparativă a fenomenelor religioase din diverse culturi.
Sacrul și profanul,Mircea Eliade,1957,Filozofie,Eseu despre distincția dintre experiența sacră și cea profană.
Rostirea filozofică românească,Constantin Noica,1970,Filozofie,Eseu despre specificul limbii române ca instrument al gândirii filosofice.
Pe culmile disperării,Emil Cioran,1934,Filozofie,"Volum de eseuri despre disperare, existență și moarte, scris în tinerețe."
Silogismele amărăciunii,Emil Cioran,1952,Filozofie,Culegere de aforisme și reflecții pesimiste despre condiția umană.
Omul în căutarea sensului,Viktor Frankl,1946,Psihologie,Mărturie despre supraviețuirea în lagărele naziste și despre căutarea sensului vieții.
Inteligența emoțională,Daniel Goleman,1995,Psihologie,Explică rolul emoțiilor în succesul personal și profesional.
Flux: Psihologia fericirii,Mihaly Csikszentmihalyi,1990,Psihologie,Despre starea de concentrare optimă numită „flux” și legătura ei cu fericirea.
Arta de a iubi,Erich Fromm,1956,Psihologie,Eseu despre iubire ca abilitate ce poate fi învățată și cultivată.
Frica de libertate,Erich Fromm,1941,Psihologie,Analizează de ce oamenii renunță uneori la libertate în favoarea autorității.
Omul și simbolurile sale,Carl Gustav Jung,1964,Psihologie,Introducere în psihologia analitică și în limbajul simbolurilor din vise.
Interpretarea viselor,Sigmund Freud,1899,Psihologie,"Lucrare fondatoare a psihanalizei, despre semnificația ascunsă a viselor."
Psihologia mulțimilor,Gustave Le Bon,1895,Psihologie,Analizează comportamentul și gândirea colectivă a mulțimilor.
Bogăția națiunilor,Adam Smith,1776,Economie & Afaceri,"Lucrare fondatoare a economiei moderne, despre piețe libere și diviziunea muncii."
Capitalul în secolul XXI,Thomas Piketty,2013,Economie & Afaceri,Analiză a inegalității economice de-a lungul istoriei capitalismului.
"Tatăl bogat, tatăl sărac",Robert Kiyosaki,1997,Economie & Afaceri,Ghid popular despre educația financiară și construirea independenței economice.
Șocul viitorului,Alvin Toffler,1970,Economie & Afaceri,Analizează efectele schimbărilor tehnologice rapide asupra societății.
Al treilea val,Alvin Toffler,1980,Economie & Afaceri,Descrie tranziția de la societatea industrială la cea informațională.
Cum să câștigi prieteni și să influențezi oamenii,Dale Carnegie,1936,Economie & Afaceri,Ghid clasic despre comunicare eficientă și relații interumane în afaceri.
Start with Why,Simon Sinek,2009,Economie & Afaceri,Despre rolul motivației și al scopului în leadership și afaceri.
Zero to One,Peter Thiel,2014,Economie & Afaceri,Eseu despre inovație și construirea unor afaceri cu adevărat originale.
Amintiri din copilărie,Ion Creangă,1892,Copii,Povestiri autobiografice despre copilăria petrecută în satul Humulești.
Harry Potter și Piatra Filozofală,J.K. Rowling,1997,Copii,Un băiat descoperă că este vrăjitor și pleacă la o școală de magie.
Alice în Țara Minunilor,Lewis Carroll,1865,Copii,O fetiță cade într-o gaură de iepure și descoperă o lume plină de personaje fantastice.
Micul Prinț,Antoine de Saint-Exupéry,1943,Copii,Un mic prinț de pe altă planetă călătorește prin univers și descoperă adevăruri simple despre viață.
Cartea Junglei,Rudyard Kipling,1894,Copii,Poveștile unui băiat crescut de animale în jungla indiană.
Charlie și fabrica de ciocolată,Roald Dahl,1964,Copii,Un băiat sărac câștigă o vizită la o fabrică de ciocolată misterioasă.
Winnie de Pluș,A.A. Milne,1926,Copii,Aventurile unui ursuleț de pluș și ale prietenilor săi din pădure.
Povești,Ion Creangă,1874,Copii,"Colecție de povești populare românești, printre care Punguța cu doi bani și Capra cu trei iezi."
"Fram, ursul polar",Cezar Petrescu,1934,Copii,"Povestea unui urs polar adus într-un circ, departe de ghețurile natale."
Dumbrava minunată,Mihail Sadoveanu,1926,Copii,Poveste despre o fetiță rătăcită într-o pădure fermecată.
La Medeleni,Ionel Teodoreanu,1925,Copii,Roman despre copilăria și adolescența a trei frați într-o moșie din Moldova.
Pinocchio,Carlo Collodi,1883,Copii,Povestea unei păpuși de lemn care își dorește să devină un copil adevărat.
Clean Code,Robert C. Martin,2008,Tehnologie,Ghid despre scrierea codului sursă lizibil și ușor de întreținut.
The Pragmatic Programmer,"Andrew Hunt, David Thomas",1999,Tehnologie,Sfaturi practice pentru dezvoltarea software de calitate.
Introduction to Algorithms,"Cormen, Leiserson, Rivest, Stein",1990,Tehnologie,Manual de referință despre algoritmi și structuri de date.
Code Complete,Steve McConnell,1993,Tehnologie,Ghid detaliat despre construcția software-ului la nivel de cod.
The Mythical Man-Month,Frederick Brooks,1975,Tehnologie,Eseuri clasice despre managementul proiectelor software.
Artificial Intelligence: A Modern Approach,"Stuart Russell, Peter Norvig",1995,Tehnologie,Manual de referință în inteligența artificială.
Structure and Interpretation of Computer Programs,"Abelson, Sussman",1985,Tehnologie,Introducere clasică în programare prin limbajul Scheme.
Design Patterns,"Gamma, Helm, Johnson, Vlissides",1994,Tehnologie,"Catalog de modele de proiectare software reutilizabile, orientate obiect."
Povestea artei,E.H. Gombrich,1950,Artă,"Trecere în revistă a istoriei artei, de la origini până în secolul XX."
Moduri de a vedea,John Berger,1972,Artă,Eseu despre modul în care privim și interpretăm imaginile și arta.
Vieți ale artiștilor,Giorgio Vasari,1550,Artă,Biografii ale marilor artiști ai Renașterii italiene.
Civilizația,Kenneth Clark,1969,Artă,Trecere în revistă a evoluției artei și culturii occidentale.
Istoria artei,H.W. Janson,1962,Artă,Manual de referință despre istoria artei occidentale.
Despre frumos,Umberto Eco,2004,Artă,Explorează conceptul de frumusețe de-a lungul istoriei culturii occidentale.
Pictura românească în imagini,George Oprescu,1959,Artă,Prezentare ilustrată a evoluției picturii românești.
Ce este arta?,Lev Tolstoi,1897,Artă,Eseu despre natura și scopul artei în societate.
Fluent Python,Luciano Ramalho,2015,Tehnologie,"A hands-on guide to writing effective, idiomatic Python code using the language's best features and libraries."
You Don't Know JS,Kyle Simpson,2014,Tehnologie,A deep dive into the core mechanisms of the JavaScript language for developers who want to truly understand it.
Refactoring,Martin Fowler,1999,Tehnologie,A catalog of techniques for improving the design of existing computer code without changing its behavior.
The Tipping Point,Malcolm Gladwell,2000,Non-ficțiune,Explores how small actions can trigger large-scale social epidemics and trends.
Deep Work,Cal Newport,2016,Non-ficțiune,Argues that the ability to focus without distraction is a valuable and increasingly rare skill in the modern economy.
The Lean Startup,Eric Ries,2011,Non-ficțiune,A methodology for developing businesses and products through validated learning and rapid experimentation.
Astrophysics for People in a Hurry,Neil deGrasse Tyson,2017,Știință,"A concise introduction to the universe, covering the Big Bang, black holes and dark matter in short chapters."
The Gene: An Intimate History,Siddhartha Mukherjee,2016,Știință,"Traces the history and future of genetics, from Mendel's peas to modern gene editing technology."
The Emperor of All Maladies,Siddhartha Mukherjee,2010,Știință,"A biography of cancer, tracing its history from ancient times to modern medical treatments."
Good to Great,Jim Collins,2001,Economie & Afaceri,"Analyzes why some companies make the leap from good performance to great, lasting results."
The Innovator's Dilemma,Clayton Christensen,1997,Economie & Afaceri,Explains why successful companies can fail by ignoring disruptive new technologies.
Thinking in Bets,Annie Duke,2018,Economie & Afaceri,Applies poker strategy to decision-making under uncertainty in business and everyday life.
Alexander Hamilton,Ron Chernow,2004,Biografie,"A comprehensive biography of one of the American founding fathers, later adapted into a Broadway musical."
The Wright Brothers,David McCullough,2015,Biografie,Tells the story of the two brothers who invented and flew the first successful airplane.
The Silk Roads,Peter Frankopan,2015,Istorie,Presents world history through the lens of trade routes connecting East and West.
Postwar,Tony Judt,2005,Istorie,A history of Europe from the end of the Second World War to the early twenty-first century.
The Martian,Andy Weir,2011,Fantezie & SF,Follows an astronaut stranded alone on Mars who must survive using science and ingenuity.
Snow Crash,Neal Stephenson,1992,Fantezie & SF,A cyberpunk novel imagining a virtual reality metaverse and its effects on real-world society.
In Cold Blood,Truman Capote,1966,Thriller & Mister,A true crime account of the brutal murder of a Kansas farm family and the investigation that followed.
The Silence of the Lambs,Thomas Harris,1988,Thriller & Mister,Follows an FBI trainee who seeks the help of an imprisoned serial killer to catch another murderer.
Thinking in Systems,Donella Meadows,2008,Psihologie,"An introduction to systems thinking, showing how complex systems behave and how to influence them effectively."
Grit,Angela Duckworth,2016,Psihologie,"Argues that passion and sustained persistence, not talent, are the key predictors of success."
Meditations,Marcus Aurelius,,Filozofie,A series of personal writings on Stoic philosophy recorded by a Roman emperor.
Beyond Good and Evil,Friedrich Nietzsche,1886,Filozofie,"A critique of past philosophers and traditional morality, laying the groundwork for Nietzsche's later ideas."
Where the Wild Things Are,Maurice Sendak,1963,Copii,A boy sent to bed without supper imagines a journey to an island inhabited by wild creatures.
Matilda,Roald Dahl,1988,Copii,Tells the story of a gifted young girl with telekinetic powers who stands up to a tyrannical headmistress.
The Waste Land,T.S. Eliot,1922,Poezie,A modernist poem exploring disillusionment and fragmentation after the First World War.
To Kill a Mockingbird,Harper Lee,1960,Literatură străină,"A story about racial injustice in the American South, seen through the eyes of a young girl."
The Catcher in the Rye,J.D. Salinger,1951,Literatură străină,Follows a disaffected teenager navigating alienation and loss over a few days in New York City.
A Streetcar Named Desire,Tennessee Williams,1947,Teatru,A drama about a woman's decline into fragility and desperation after moving in with her sister's family.
Art and Fear,"David Bayles, Ted Orland",1993,Artă,Explores the psychological obstacles that stand between artists and the ongoing practice of their work.
Kir Ianulea,Mihail Sadoveanu,1939,Literatură română,Nuvelă fantastică despre un diavol coborât în lumea oamenilor din Balcani.
Hanu Ancuței,Mihail Sadoveanu,1928,Literatură română,"Ciclu de povestiri spuse de călători la un han, în stil popular moldovenesc."
Neamul Șoimăreștilor,Mihail Sadoveanu,1915,Literatură română,Roman istoric despre răscoala unei familii de răzeși împotriva asupririi boierești.
